,precision,recall,f1-score,support
Neural Networks & Deep Learning,0.8320802005012531,0.8238213399503722,0.827930174563591,403.0
Natural Language Processing,0.832807570977918,0.8407643312101911,0.8367670364500792,314.0
Computer Vision,0.1276595744680851,0.14634146341463414,0.13636363636363635,41.0
Reinforcement Learning,0.8481012658227848,0.8305785123966942,0.8392484342379958,242.0
accuracy,0.803,0.803,0.803,0.803
macro avg,0.6601621529425102,0.6603764117429729,0.6600773204038256,1000.0
weighted avg,0.8073044469713767,0.803,0.8050897399709561,1000.0
